id,name,email,phone,website,street,city,zipcode,extraction_date,data_source,batch_id
1,Leanne Graham,sincere@april.biz,1770736803156442,hildegard.org,Kulas Light,Gwenborough,92998-3874,2025-11-20 16:13:49,web_api,20251120161349
2,Ervin Howell,shanna@melissa.tv,010692659309125,anastasia.net,Victor Plains,Wisokyburgh,90566-7771,2025-11-20 16:13:49,web_api,20251120161349
3,Clementine Bauch,nathan@yesenia.net,14631234447,ramiro.info,Douglas Extension,Mckenziehaven,59590-4157,2025-11-20 16:13:49,web_api,20251120161349
4,Patricia Lebsack,julianne.oconner@kory.org,4931709623156,kale.biz,Hoeger Mall,South Elvis,53919-4257,2025-11-20 16:13:49,web_api,20251120161349
5,Chelsey Dietrich,lucio_hettinger@annie.ca,2549541289,demarco.info,Skiles Walks,Roscoeview,33263,2025-11-20 16:13:49,web_api,20251120161349
6,Mrs. Dennis Schulist,karley_dach@jasper.info,147793584786430,ola.org,Norberto Crossing,South Christy,23505-1337,2025-11-20 16:13:49,web_api,20251120161349
7,Kurtis Weissnat,telly.hoeger@billy.biz,2100676132,elvis.io,Rex Trail,Howemouth,58804-1099,2025-11-20 16:13:49,web_api,20251120161349
8,Nicholas Runolfsdottir V,sherwood@rosamond.me,5864936943140,jacynthe.com,Ellsworth Summit,Aliyaview,45169,2025-11-20 16:13:49,web_api,20251120161349
9,Glenna Reichert,chaim_mcdermott@dana.io,775976679441206,conrad.com,Dayna Park,Bartholomebury,76495-3109,2025-11-20 16:13:49,web_api,20251120161349
10,Clementina Dubuque,rey.padberg@karina.biz,0246483804,ambrose.net,Kattie Turnpike,Lebsackbury,31428-2261,2025-11-20 16:13:49,web_api,20251120161349
